spec_id_label,threshold_index_rheobase,trough_t_short_square,tau,peak_v_short_square,upstroke_scaling,upstroke_index_scaling,trough_t_scaling,fast_trough_t_short_square,adaptation,peak_t_index_scaling,trough_v_long_square,downstroke_t_scaling,upstroke_downstroke_ratio_scaling,slow_trough_t_scaling,upstroke_t_rheobase,threshold_t_rheobase,threshold_t_short_square,width_rheobase,upstroke_v_rheobase,threshold_v_ramp,fast_trough_v_index_scaling,peak_index_index_scaling,downstroke_v_scaling,threshold_t_long_square,threshold_v_short_square,upstroke_downstroke_ratio_ramp,trough_t_long_square,threshold_i_long_square,fast_trough_t_rheobase,upstroke_index_rheobase,threshold_i_short_square,threshold_v_long_square,peak_v_ramp,threshold_t_ramp,slow_trough_index_rheobase,fast_trough_t_ramp,slow_trough_v_rheobase,fast_trough_t_index_scaling,fast_trough_v_short_square,threshold_i_ramp,fast_trough_t_long_square,slow_trough_t_short_square,trough_v_short_square,downstroke_scaling,width_scaling,downstroke_t_rheobase,slow_trough_v_scaling,upstroke_downstroke_ratio_long_square,f_i_curve_slope,trough_v_ramp,peak_v_index_scaling,vrest,trough_index_rheobase,downstroke_v_rheobase,upstroke_downstroke_ratio_short_square,fast_trough_v_long_square,fast_trough_index_scaling,downstroke_rheobase,avg_isi,sag,threshold_t_scaling,slow_trough_v_ramp,trough_t_ramp,peak_v_rheobase,peak_t_short_square,slow_trough_index_scaling,upstroke_downstroke_ratio_rheobase,latency,slow_trough_t_rheobase,trough_t_rheobase,fast_trough_v_ramp,slow_trough_v_long_square,fast_trough_v_rheobase,peak_t_ramp,slow_trough_t_long_square,threshold_v_scaling,ri,threshold_v_rheobase,upstroke_rheobase,trough_v_rheobase,peak_index_rheobase,trough_index_scaling,trough_v_scaling,downstroke_index_rheobase,fast_trough_index_rheobase,slow_trough_t_ramp,threshold_index_scaling,peak_t_long_square,peak_v_long_square,upstroke_v_scaling,peak_t_rheobase,downstroke_index_scaling,slow_trough_v_short_square,upstroke_t_scaling
653033487,55220,1.1356900000000003,26.018366906008005,42.46875,0.054675542555869455,-45.46249892751381,-0.0009287499784708059,0.5060000000000001,0.009520756907382327,-0.0009094999785423268,-55.59375,-0.000909749978534383,-0.0012500016859188238,-0.0009287499784708059,0.58474,0.5844,0.5030200000000001,0.0008599999999998609,9.843750953674316,-33.875003814697266,0.02968754785756445,-45.47499892711659,-0.0023437504967053473,0.5844,-35.9375,2.386852178787229,0.5895000000000001,20.0,0.5874000000000001,55237,340.0,-37.0,45.78125,1.27618,55475.0,1.2793200000000002,-55.59375,-0.0009147499786933275,-53.593753814697266,19.5,0.5874000000000001,,-59.03125,-0.08540164773230181,-7.500000079466518e-07,0.58552,0.03515620244046224,2.4040844347870283,0.5000000476837202,-53.937503814697266,-0.010937499329448323,-59.455315589904785,55475,-5.59375,2.2543272168567476,-54.531253814697266,-45.73749893466636,-113.67748910144196,36.92461538461537,0.1799151599407196,-0.0009092499785502769,-53.937503814697266,1.2824400000000002,43.500003814697266,0.50354,-46.43749892354014,2.4040844347870283,0.02104000000000017,0.5895000000000001,0.5895000000000001,-52.843753814697266,-55.59375,-54.531253814697266,1.27676,0.5895000000000001,-0.00039067274580542746,568.0192565917966,-37.0,273.29028213444866,-55.59375,55249,-46.43749892354014,0.03515620244046224,55276,55370,1.2824400000000002,-45.462498927513955,0.58498,43.500003814697266,-0.004296874764064217,0.58498,-45.48749892671903,,-0.0009092499785502752
653033531,55656,0.5302600000000002,19.692045212929067,32.85937690734863,0.11226172775086425,-50.462498777310245,-0.0010219999752680501,0.504685,0.0070845735014120805,-0.0010092499755620984,-64.4375,-0.0010094999755541493,0.0005974712206203752,-0.001800000171661394,0.5933600000000001,0.5931200000000001,0.5030100000000001,0.0005399999999999849,-2.21875,-36.890628814697266,0.023437500099341448,-50.46249877810505,0.03203125712772224,0.5931200000000001,-39.2578125,1.6888242049012294,0.5961800000000002,20.0,0.5949200000000001,55668,340.0,-38.4375,33.265625,1.5067500000000003,55809.0,1.5085600000000001,-64.4375,-0.0010117499755303073,-62.656253814697266,25.25,0.5949200000000001,,-65.6640625,0.001689427271167634,-2.499999920515775e-07,0.59378,0.024218656942239528,1.7830212225335815,0.4124999996026345,-63.453125,1.4901445248600717e-10,-63.07885578700474,55809,-4.531250476837158,1.7927313475013387,-63.656253814697266,-50.58749877651555,-193.07166425879504,44.49142857142857,0.10120078176259995,-0.0010094999755541503,-63.45312690734863,1.50953,32.500003814697266,0.5034050000000001,-90.00000858306944,1.7830212225335815,0.02198000000000011,0.5961800000000002,0.5961800000000002,-62.734375,-64.4375,-63.656253814697266,1.5071800000000002,0.5961800000000002,-0.018359422149755777,250.00017881393433,-38.4375,344.25087484330993,-64.4375,55676,-51.09999876340262,0.028515577452880227,55689,55746,1.50953,-50.47499877770769,0.59352,32.500003814697266,-0.006250000198681842,0.59352,-50.47499877770786,,-0.0010092499755462
653034602,55875,1.4317600000000001,18.29924264207549,49.312503814697266,-0.08149298549149851,-4.058433174067309,0.004493945700418118,0.5053400000000001,0.13619049579650053,-8.122288034402662e-05,-52.15625,-8.080119359343934e-05,0.0017064636522463063,,0.5978600000000001,0.5975000000000001,0.5026600000000001,0.0009200000000000319,10.218750953674316,-37.96875,0.019390048477332042,-4.061144017201312,-0.018891200413159545,0.53918,-46.218753814697266,3.191577713065691,0.5422,239.99998474121094,0.6003400000000001,55893,1650.0,-43.437503814697266,50.0,9.22252,,9.22546,,-8.098794057510753e-05,-50.312503814697266,218.125,0.5419,,-73.5,0.06614841717711567,3.8554216933889966e-07,0.5983400000000001,,3.243215626923226,-0.03999999694824244,-53.093753814697266,0.001120115858468723,-71.88854026794434,56029,32.500003814697266,3.015289802027215,-52.031253814697266,-4.049397028755279,-92.88600401686966,104.06500000000001,0.10416969656944275,-8.140962732569358e-05,-53.093753814697266,9.26264,49.28125,0.5032000000000001,,3.8193687291337137,0.03917999999999999,,0.6005800000000001,-51.312503814697266,,-51.6875,9.22316,,0.01724398177530872,70.93746215105057,-40.53125,354.7658991162205,-51.812503814697266,55904,224.69728502090598,-0.10216493154968534,55917,56017,9.26264,-4.070481366284672,0.53976,48.281253814697266,0.010137424674526118,0.5980800000000002,-4.040059679671837,,-8.116866348134551e-05
653037369,55683,1.03241,9.40623359075425,4.111607193946838,0.07498137162649118,-41.21161212094014,-0.014836451035356437,0.5050014285714287,0.32035465094713733,-0.0008242709520678328,-54.812503814697266,-0.0008241548230419865,0.0016928875720118447,,0.59386,0.5936600000000001,0.5032585714285716,0.00048000000000003595,-17.78125,-33.75,0.03729840158052062,-41.21354760339155,-0.005282266742058984,0.5936600000000001,-38.38839340209961,1.4571241157216215,0.6106400000000001,80.0,0.5954600000000001,55693,490.0,-36.78125,13.968750953674316,7.2727200000000005,,7.27406,,-0.0008254967584867352,-56.03348159790039,169.375,0.5954600000000001,,-66.97768129621234,0.08040683843229267,-2.4516130740894617e-07,0.5941800000000002,,1.685889597298749,0.4367742177687331,-55.968753814697266,-0.0055241924502225925,-66.35281829833984,104193,-10.46875,1.7184502597956375,-53.90625,-41.274837924336786,-132.38284003465193,53.944999999999965,0.13292831182479858,-0.0008241548230419886,,7.2742,4.0,0.5035828571428572,,1.685889597298749,0.023680000000000145,,1.56386,-55.75,,-53.90625,7.273080000000001,,-0.024717788041918595,121.40628695487976,-36.78125,223.18285287528408,-68.71875,55701,-741.8225517678222,0.2522177700266999,55709,55773,,-41.20774115209941,0.59402,4.0,-0.02925405005743725,0.59402,-41.207741152099324,,-0.0008242322424188014
653038085,57008,0.6792800000000001,20.76922865707345,19.40625,-0.02908528295849552,-60.087499999999686,-0.001205749999999997,0.5057200000000001,0.07041564345280625,-0.0012022499999999972,-46.34375,-0.0012029999999999968,-0.0005551426616529136,,0.6204000000000001,0.62016,0.50317,0.0009600000000000719,-14.031250953674316,-39.3125,0.03671874999999965,-60.11249999999954,0.009374999999999953,0.62016,-40.421875,2.9569701112451963,0.6231600000000002,50.0,0.6229600000000002,57020,580.0,-39.40625,26.0,2.7087200000000005,,2.7117600000000004,,-0.0012064999999999997,-45.71875,55.25,0.6229600000000002,,-72.875,-0.004854741306002436,-1.0000000000009935e-06,0.6213000000000002,,3.0079559619498495,0.31249999999999994,-48.687503814697266,-0.05156247615814184,-71.79286193847656,57158,-6.625000476837158,2.761157597894668,-46.218753814697266,-60.32499999999975,-78.30874493297296,55.980000000000004,0.048472773283720016,-0.001201999999999997,-48.687503814697266,2.7648200000000003,25.40625,0.5036900000000001,,3.0079559619498495,0.040320000000000134,,0.6231600000000002,-47.000003814697266,,-46.218753814697266,2.7093200000000004,,-0.009375047683716097,226.5625,-39.40625,235.54925619394606,-46.34375,57037,-60.28749999999954,0.03632807731628401,57065,57148,2.7648200000000003,-60.09999999999979,0.6207400000000001,25.40625,0.020312511920928967,0.6207400000000001,-60.14999999999966,,-0.0012017499999999951
653038230,54647,0.8112600000000001,27.694715357319108,31.8125,0.1481217961316486,-31.8499988969166,-0.0145562490937708,0.50604,0.11811426159825497,-0.0006374999779383327,-52.906253814697266,-0.000634499977811172,-0.000626597659069918,,0.57324,0.57294,0.50316,0.0010399999999999299,-0.09375,-39.125003814697266,0.007812500248352712,-31.874998896916637,-0.3019531403730295,0.57294,-43.812503814697266,3.072418770613591,0.5910200000000001,80.0,0.5763800000000001,54662,720.0,-39.78125,36.000003814697266,3.2837000000000005,,3.28752,,-0.0006462499775409666,-53.1875,69.625,0.5763800000000001,,-70.34375762939453,-0.06465551817141277,-1.249999952316139e-06,0.57392,,3.1220104515432623,0.13749999920526967,-57.59375,-0.02656254733602494,-69.83474731445312,110476,17.75,2.850642053101149,-51.562503814697266,-32.312498877048405,-80.58180063947006,152.34333333333336,0.13821597397327423,-0.0006369999779701186,-57.59375,3.3221000000000003,37.625003814697266,0.5037,,3.1220104515432623,0.033600000000000074,,1.6895200000000004,-51.500003814697266,,-51.562503814697266,3.2843800000000005,,-0.023437546888989746,212.65636384487152,-39.78125,251.57722380060108,-71.9375,54677,-727.8124546885405,0.2593749369184178,54696,54819,3.3221000000000003,-31.84999889850619,0.5735400000000002,37.625003814697266,0.005468755985300092,0.5735400000000002,-31.724998890558755,,-0.0006369999779383251
653038258,54999,0.5901350000000001,13.568039935736937,45.34375190734863,0.027668225482446955,-24.86250000000015,-0.012685750000000011,0.5050050000000001,,-0.0004975000000000013,-52.031253814697266,-0.0004975000000000018,0.00034525914868080735,,0.5802200000000002,0.5799800000000002,0.503105,0.0007800000000000029,3.687500238418579,-30.062501907348633,0.023046827316284265,-24.87499999999997,0.011718744039535553,0.5799800000000002,-40.0703125,3.098607472305872,0.6381600000000001,250.0,0.5821000000000001,55011,1720.0,-37.34375,44.65625,15.04104,,15.04374,,-0.0004989999999999978,-47.5390625,363.625,0.5821000000000001,,-69.25,0.003683238133881205,-2.500000000016368e-07,0.5810200000000001,,3.173476838956552,0.05000000000000001,-48.218753814697266,-0.007421827316284114,-68.61076672871907,103858,-8.53125,3.0717931231077267,-49.4375,-24.950000000000077,-114.28699362912234,,0.27055537700653076,-0.0004972500000000045,-48.218753814697266,15.0677,45.71875,0.50353,,3.173476838956552,0.05581999999999998,,1.55716,-44.375003814697266,,-49.4375,15.04158,,0.0015624523162842804,61.8751123547554,-37.34375,362.6871272759948,-72.50000762939453,55022,-634.2875000000005,0.31015634536743214,55051,55105,15.0677,-24.862500000000157,0.5804400000000001,45.71875,-0.007031252980232222,0.5804400000000001,-24.87500000000008,,-0.0004972500000000011
653038343,53352,0.5709600000000001,21.451005592642854,47.625,0.014247901548996005,-5.427501588392219,-0.00018405149777524956,0.5058800000000001,0.3871529448627105,-0.00010870003178978189,-48.71875,-0.00010870003179931593,0.0005787928705724784,,0.5474000000000001,0.54704,0.50316,0.0008799999999999919,12.593750953674316,-35.062503814697266,0.002734404407440447,-5.435001589489097,0.0078124937713096405,0.54704,-41.593753814697266,3.0068793658450987,0.5506,119.99999237060547,0.54992,53370,700.0,-36.75,49.84375,6.980880000000001,,6.984100000000001,,-0.00010895003212833655,-49.125,162.125,0.54992,,-62.0625,0.011500000101365053,-5.000004863771966e-08,0.54782,,3.1061319503321525,0.012500010728837042,-49.9375,-0.0007812224626500102,-60.84657842462713,104864,34.656253814697266,2.806017129226194,-48.468753814697266,-5.447501606416831,-98.4421842689641,156.17,0.24798642098903656,-0.00010875003178119604,,6.984700000000001,48.5,0.5037400000000001,,3.1061319503321525,0.027880000000000127,,1.57728,-49.593753814697266,,-48.468753814697266,6.9815000000000005,,0.00531247855424801,145.9374576807022,-36.75,305.7744138183146,-64.625,53381,-9.202574888762072,0.019531244143847177,53391,53496,,-5.437501589059794,0.54762,48.5,0.018515617366134995,0.54762,-5.435001589965834,,-0.0001085500317678457
653038483,52975,0.9813000000000002,7.605222586662095,18.515625,0.14503605239530895,-17.46250000000027,-0.013178750000000012,0.5045900000000001,0.445288499085609,-0.0003492499999999999,-65.53125,-0.0003492500000000015,0.0001190536734884777,,0.5396800000000002,0.5395000000000001,0.5034200000000001,0.00038000000000004697,-16.75,-41.46875,0.01328125000000041,-17.462500000000354,-0.0019531249999999768,0.5395000000000001,-53.093753814697266,1.4959307433105595,0.5407200000000001,110.0,0.5406600000000001,52984,450.0,-47.343753814697266,16.562501907348633,8.674339999999999,,8.67562,,-0.00035000000000000336,-65.78125,204.375,0.5406600000000001,,-74.84375,-0.06993841133529734,-2.5000000000164053e-07,0.53996,,1.6223188821124699,0.3500000000000001,-67.0,0.00429685115814202,-74.85480117797852,104350,-6.437500476837158,1.649816061497162,-65.46875,-17.500000000000245,-259.6100751238331,58.795000000000044,0.12076745182275772,-0.0003492500000000015,,8.675839999999999,19.281251907348633,0.5037300000000001,,1.6223188821124699,0.01756000000000002,,1.5670000000000002,-66.78125,,-65.46875,8.67468,,-0.023046874999999745,82.81268924474716,-47.343753814697266,421.17032686003125,-76.59375762939453,52991,-658.9375000000009,0.15078134536743207,52998,53033,,-17.462500000000166,0.53982,19.281251907348633,-0.03749999999999992,0.53982,-17.46250000000044,,-0.000349250000000004
653038959,54041,0.8603200000000001,15.381275848593534,24.734376907348633,0.04809221717500421,-33.82499941329116,-0.014579499767172339,0.5079400000000001,,-0.000676749988257882,-61.34375,-0.0006752499883135115,-0.0005973759558835099,0.004641798198495992,0.56162,0.5608200000000001,0.5032900000000001,0.0009600000000000719,-6.093750476837158,-48.96875,0.05546879636744468,-33.837499412893926,-0.09843749665965633,0.5608200000000001,-48.796875,2.979188779435291,0.57226,29.999998092651367,0.5653600000000001,54081,220.0,-49.84375,26.062501907348633,2.2667800000000002,51532.0,2.2708800000000005,-54.968753814697266,-0.0006922499879240968,-61.359375,44.25,0.5653600000000001,,-70.53125,-0.032174341493049124,-7.499999880812026e-07,0.5622,-0.4996746483444921,2.9538350528130914,0.4874999883770944,-59.687503814697266,0.01796874944741533,-69.16419347127278,109850,5.3125,2.7981542692745767,-58.906253814697266,-34.61249939620492,-76.01220942686855,,0.18419280648231506,-0.0006747499883135152,-59.687503814697266,2.2779800000000003,23.5625,0.5042500000000001,468.4340137178745,2.9538350528130914,0.060820000000000096,0.51064,1.677,-57.4375,,-58.906253814697266,2.2677400000000003,,0.01640620169540358,387.49998807907104,-49.84375,224.52752864685402,-70.40625,54093,-728.9749883586167,0.1929686988269293,54110,54268,2.2779800000000003,-33.73749941567539,0.56186,23.5625,0.033984380178153445,0.56186,-33.76249941567551,,-0.0006764999882658278
