spec_id_label,latency,threshold_index_rheobase,slow_trough_t,slow_trough_v,peak_v_short_square,peak_t_short_square,fast_trough_t_short_square,adaptation,trough_v_long_square,upstroke_v,threshold_index,trough_t_short_square,upstroke_t_rheobase,threshold_t_rheobase,threshold_t_short_square,width,peak_v_index,threshold_v_ramp,threshold_t_long_square,threshold_v_short_square,upstroke_downstroke_ratio_ramp,trough_t_long_square,slow_trough_index,upstroke,trough_v,fast_trough_t_rheobase,trough_t,upstroke_index_rheobase,threshold_i_short_square,threshold_v_long_square,peak_v_ramp,upstroke_v_rheobase,slow_trough_t_ramp,threshold_t_ramp,slow_trough_index_rheobase,fast_trough_t_ramp,slow_trough_v_rheobase,upstroke_downstroke_ratio,threshold_i_ramp,slow_trough_v_short_square,slow_trough_t_short_square,trough_v_short_square,downstroke_t_rheobase,upstroke_downstroke_ratio_long_square,trough_v_ramp,peak_v_long_square,vrest,trough_index_rheobase,downstroke_v_rheobase,upstroke_downstroke_ratio_short_square,width_rheobase,downstroke_rheobase,avg_isi,sag,upstroke_downstroke_ratio_rheobase,upstroke_index,trough_t_ramp,slow_trough_v_ramp,fast_trough_t_index,upstroke_t,downstroke,peak_v_rheobase,peak_t_index,downstroke_index,slow_trough_t_rheobase,fast_trough_v_ramp,slow_trough_v_long_square,fast_trough_v_rheobase,peak_t_ramp,slow_trough_t_long_square,fast_trough_t_long_square,ri,trough_index,downstroke_t,threshold_v_rheobase,upstroke_rheobase,threshold_i_long_square,trough_v_rheobase,peak_index_rheobase,fast_trough_index,peak_index_index,downstroke_index_rheobase,fast_trough_index_rheobase,fast_trough_v_index,f_i_curve_slope,peak_t_long_square,fast_trough_v_long_square,tau,trough_t_rheobase,peak_t_rheobase,downstroke_v,threshold_v,threshold_t,fast_trough_v_short_square
716918890,0.1015600000000001,72018.57208987173,,,33.21354293823242,0.5036633333333334,0.5058933333333334,0.046166201805211526,-51.375,-0.03243304111458831,-92.36715078933875,1.1193466666666667,0.9208657275127489,0.9203714417974354,0.5030633333333333,-2.2857142234357235e-07,-0.011919638343003303,-35.484375,0.8767200000000002,-35.28125,2.540879245237551,0.9394200000000001,,0.0694383204253674,0.1261830271160101,0.9240600132411408,-0.006479429108618923,72043.28637563743,1250.0,-33.125003814697266,36.0625,14.638394316069924,,3.4846000000000004,,3.487920000000001,,0.0009967697193812499,74.6875,,,-74.63541412353516,0.921437156084084,2.5568656538053753,-50.609378814697266,40.250003814697266,-74.4211441040039,118506.71646086244,22.303574465245806,2.5465910334019504,0.0010142857120436209,-81.69382901802845,126.94000000000003,0.022704366594552994,2.5738404988054193,-92.37857936154589,3.5394300000000003,,-0.0018503001588576207,-0.00184757158723092,0.004886979377766916,41.55357259059443,-0.0018475573015061227,-92.39572221931148,,-50.093753814697266,,-47.76339284911432,3.4853400000000008,,0.88012,148.5937088727951,-323.97145543094626,-0.0018479144443862329,-32.1383965902427,209.9023116908513,80.0,-74.23214370639938,72055.42923270553,-92.51500794288089,-92.37786507530612,72071.85780420418,72203.000662057,-0.005691983629856121,0.1085714376021407,0.87744,-48.09375,26.62801227186802,1.8501343292172476,0.9211085846541108,0.008705343588272626,-0.014598196313087813,-0.0018473430157867775,-53.35416793823242
716929071,0.09364000000000017,65472.00043350219,0.010243899390720197,-0.6967661302921415,33.712501525878906,0.5036720000000001,0.505612,0.03861978253803286,-55.75,-0.022120536116312792,-60.14000518417363,1.1975140000000004,0.7898800086706976,0.7894400086700442,0.5030300000000001,-2.5714287193479347e-07,-0.030312510754382682,-40.859375,0.7496,-45.52500114440918,2.354680736213089,0.8196400000000001,837.1441962193404,0.03981375805168033,0.013616078039821039,0.7922828658035588,-0.001539657274026679,65494.00043353488,1250.0,-39.5625,33.8125,9.294643088895421,3.6126000000000005,3.5526500000000008,10.464302452741755,3.5557800000000004,-0.00870957662865177,0.000771756302833214,76.375,,,-78.26249694824219,0.7904085801013244,2.4805279788316037,-57.84375,37.71875,-78.43803558349609,68983.42911470063,20.392856985695587,2.2554919899863393,0.0008685714293187776,-101.32241665874444,126.4742857142857,0.011415633372962475,2.4986146805695846,-60.145005184582374,3.6126000000000005,-57.84375190734863,-0.0012035858179368778,-0.0012029001036916482,0.01450921450486428,41.12500239338215,-0.0012030286751276156,-60.167862328996456,0.00012804874238400246,-52.0,-55.75,-52.026790042555874,3.5534000000000003,0.8196400000000001,0.7523600000000001,147.81250059604645,-76.98286370133391,-0.0012033572465799305,-38.58928777076783,253.10404559325994,80.0,-55.71428853540997,65505.71471926783,-60.17929089684386,-60.15143375638059,65520.429005066195,65614.1432901779,-0.004352662597992609,0.12285715258851362,0.7502600000000001,-52.187503814697266,28.66211376468043,0.8596685822940123,0.7901142943853571,-0.006473207127075034,-0.013727671743045785,-0.0012028001036834739,-56.70000076293945
717075496,0.04936000000000007,61256.142857142855,,,46.337501525878906,0.5021640000000002,0.5043080000000001,0.09389650797498388,-55.28125,-0.018169646774019492,-29.578571428571372,0.605576,0.7054228571428575,0.7051228571428574,0.501576,-1.714285714277917e-07,0.005089285714285681,-40.937503814697266,0.6272200000000001,-41.05000305175781,2.94987782694847,0.7067800000000002,,0.0859010026119319,0.1216294697352818,0.70825,-0.005355714285714291,61271.142857142884,1800.0,-42.65625,41.4375,-1.1919637237276433,7.278546666666667,7.225173333333334,,7.22796,,0.00026424511049936967,168.2083282470703,,,-71.4312515258789,0.7064671428571427,3.105545396413408,-55.05208206176758,39.843753814697266,-70.77719624837239,132850.42857142858,-7.459820815495083,3.3037192750049433,0.0010628571428569688,-89.81287712927515,153.03333333333336,0.16566528379917145,3.07650059709134,-29.578571428571472,7.278546666666667,-55.052084604899086,-0.0005932999999999996,-0.0005915714285714289,-0.019447068975346475,38.79018238612586,-0.0005915428571428583,-29.58642857142853,,-51.42708206176758,,-52.31473786490306,7.225833333333334,,0.6300600000000001,72.65625149011612,-267.7857142857144,-0.0005917285714285713,-40.5892859867641,276.0675364351701,180.0,-86.96205684116909,61287.285714285725,-29.664999999999935,-29.57714285714286,61323.35714285714,61412.499999999985,0.00622769764491491,0.10999999999999995,0.6278600000000001,-51.343753814697266,15.356881749016832,2.137008571428573,0.7057457142857146,0.00758928230830601,-0.013705359867640883,-0.0005915714285714286,-53.306251525878906
717075725,0.08732000000000006,55687.2920494564,0.02090976825209447,-1.4478705771101263,6.237500190734863,0.503588,0.506264,0.08536217494573693,-41.5625,-0.0263923249554457,-25.56089095846059,1.332092,0.5940415340589024,0.5937458409891281,0.502912,-7.623762321732235e-07,-0.040663679613859666,-36.71875,0.5873200000000001,-33.525001525878906,2.4195797966158534,0.6166400000000001,1911.1932399976058,-0.0718538568575711,0.0714727758006343,0.5972194548456472,-0.0006623514819940887,55702.07670294509,380.0,-35.625003814697266,8.15625,-14.856127232778995,1.4145800000000002,1.3741,63.70644538360024,1.37808,-0.04826235563877548,0.0015652884797614092,21.875,,,-65.51249694824219,0.5949501479195006,2.441741740124861,-47.546875,13.375000953674316,-64.84076799665179,57077.98263591382,-4.1171876120316515,2.30299294571333,0.0011054455435065176,-57.82416357057098,151.08,0.07506907731294632,2.4126511179193835,-25.550742443772567,1.4145800000000002,-47.546875,-0.0005151237597402028,-0.000511014848875455,0.05804041905086054,15.4467062340594,-0.000511069304320812,-25.57103947321907,0.0006969923193833939,-41.9375,-41.5625,-43.787132828169526,1.3749200000000001,0.6166400000000001,0.5907800000000001,302.656352519989,-33.117574099704285,-0.0005114207894643865,-35.44214383542189,140.38373285643019,29.999998092651367,-45.51052107429868,55723.524722744405,-25.75618798701014,-25.553465216040635,55747.507395975,55860.97274228237,0.06144803847093941,0.2624999968707562,0.58806,-40.968753814697266,22.67945856840427,0.6215596527182771,0.5944704944548879,-0.0023437504684275753,-0.00872524561216431,-0.0005112178191692091,-42.550000762939455
717080843,0.03178000000000014,55189.700000000004,,,34.765625,0.50328,0.5047,0.08735615318742697,-53.937503814697266,-0.0012500008089201793,-17.44428571428582,0.7341450000000002,0.584063,0.583794,0.5028150000000001,-3.4285714285828106e-07,-0.016450890132359113,-41.250003814697266,0.5749600000000001,-46.3359375,2.7995981860183,0.73834,,0.04755535088245388,0.1519865798950195,0.586071,-0.005414085714285714,55203.14999999998,650.0,-39.187503814697266,38.71875,0.42500018775463116,2.3733900000000006,2.3255,,2.3278600000000003,,0.00013091694925940696,45.6875,,,-75.52344512939453,0.5847590000000001,3.023325069725607,-54.765625,38.21875,-75.23101637098524,103404.09999999999,1.4359373331069936,2.9237832758922853,0.0007880000000000669,-109.59552661421353,68.65230769230769,0.10647903382778168,3.025155408149897,-17.44214285714289,2.3733900000000006,-54.76562690734863,-0.0003509000000000005,-0.000348842857142857,-0.010929880643185834,39.482813072204586,-0.00034898571428571554,-17.49071428571429,,-52.046878814697266,,-51.24062671661377,2.32606,,0.57718,178.90627682209015,-270.7042857142856,-0.0003498142857142862,-37.698441123962404,331.5685620624015,70.0,-78.08281059265137,55214.65000000001,-17.54500000000008,-17.44928571428589,55237.94999999999,55303.549999999996,0.010758920397077326,0.247142857142857,0.5754600000000001,-51.031253814697266,13.998081046868245,1.5480820000000002,0.5842930000000002,0.05296875374657767,-0.020736588069370798,-0.0003488857142857148,-51.5078125
717086746,0.022720000000000073,53580.85710548792,,,31.549999237060547,0.5030720000000001,0.504964,0.03740872840286471,-41.656253814697266,0.0016741089790450038,-12.471428447956864,0.5051,0.5519177135377908,0.5516171421097582,0.50244,-3.285714294288287e-07,0.007299115443595242,-37.85416793823242,0.55186,-33.97500228881836,2.7949955770044954,0.5545,,0.01603563554906013,0.034151810362631624,0.5542011421052242,-0.00024992856895096355,53595.88567688956,500.0,-38.90625,28.760419845581055,-11.129464722920428,,1.6304133333333335,,1.6334333333333335,,0.00046653203237750684,28.375,,,-40.38125228881836,0.5528194278212353,2.718748000303022,-41.21875,24.125,-62.998069763183594,53711.85710539529,-5.263393147818876,2.610033494335416,0.0009811428566103893,-77.20035880706442,31.421333333333337,0.126707062125206,2.6938257514993666,-12.467142733351965,1.633626666666667,,-0.00025032856893352504,-0.00024934285466703945,0.007113683822943662,23.12678576880081,-0.0002494428546654045,-12.479285589673381,,-41.08333206176758,,-43.15446739671652,1.6311400000000003,,0.5544,310.9371066093445,-12.496428447548158,-0.0002495857117934712,-39.497321397207244,207.9973883392789,40.0,-43.24107693577303,53613.68567687101,-12.516428446676207,-12.47214273327024,53640.97139106176,53710.057105261214,0.03386161000254035,0.23285714294277823,0.5525200000000001,-41.593753814697266,27.556483013722396,0.5542371421079054,0.5522737135374203,0.026116073169270174,0.001964285463216337,-0.0002494285689591364,-40.26875305175781
717094612,0.03622000000000014,61004.38577374877,,,51.8828125,0.5034850000000001,0.50665,0.07102847316332005,-46.65625,-0.02262931118523272,-46.170043219113744,0.5075550000000001,0.7003933189234196,0.7000877154749754,0.5029400000000002,-5.043103437531834e-07,-0.0066338876115301,-37.10416793823242,0.8134400000000002,-40.421875,4.497283035913362,0.8183800000000001,,0.05049900806896379,0.02024515733933433,0.703967801679898,-0.0009279051747190403,61019.66594617097,400.0,-38.75,53.375,11.21982826239338,1.525966666666667,1.5199133333333332,,1.52418,,0.0012021901459683395,25.58333396911621,,,-46.515625,0.7010019827165433,4.614729770521575,-44.96875,53.000003814697266,-62.582009996686665,61242.5646529192,37.4139973123469,4.897261245187743,0.001203577585870618,-73.12601786487855,60.31466666666666,0.10135939717292786,4.63462683451989,-46.16616390882057,1.525966666666667,-44.96875254313151,-0.0009254612092009946,-0.0009233232781764117,0.007519353927722264,52.67019398917223,-0.0009233405195559488,-46.169396667458095,,-44.26041793823242,,-46.73754531276915,1.5205400000000002,,0.8173000000000001,189.06265497207642,-46.39525873595203,-0.0009233879333491618,-38.80879633105306,339.01508601179023,29.999998092651367,-47.100351838687345,61033.38146341359,-46.27306046004968,-46.16702597779763,61050.099135827164,61198.39008399489,0.01940330051054554,0.17019230649668787,0.8140400000000001,-46.156253814697266,21.13506383646214,0.7048512930583839,0.7006676292682708,-0.01167159899284661,-0.00884295493387033,-0.0009234008643822745,-46.000003814697266
717094643,0.044380000000000086,57398.371318532365,0.017340162398500933,-1.4428482198625854,27.542614676735617,0.5036145454545455,0.5059672727272728,0.02932464410758583,-57.75,0.00959821707253578,-33.39428529297168,0.7133181818181821,0.6282542835129252,0.6279674263706473,0.503069090909091,-3.285714294262922e-07,-0.006183025414724836,-36.171875,0.6349400000000001,-35.75852480801669,2.335526602608174,0.69404,1516.6021236727042,0.03599565574401592,0.03700891202152848,0.6308959977968055,-0.000948542844151553,57412.714175646266,800.0,-41.0,31.218751907348633,-10.665179336508954,2.53756,2.4784700000000006,37.915053091817605,2.48173,-0.03607120549656464,0.0001298306988772398,49.5,,,-69.25283813476562,0.6290891406552903,2.3063888642352217,-54.75,28.0,-68.01015167236328,59792.48555237348,-5.122321467029795,2.1403245522631327,0.0009611428566102018,-93.81482870926627,81.61454545454546,0.2198370099067688,2.2823147564336277,-33.39285672125512,2.53756,-54.75000190734863,-0.0006695999915815056,-0.0006678571344251011,-0.01016561096060761,28.109821714338022,-0.0006679857058578001,-33.40642814983825,0.00043350405996252337,-50.531253814697266,-57.75,-55.83214597604211,2.4791100000000004,0.69404,0.6378400000000002,229.68749701976776,-47.42714220757765,-0.0006681285629967645,-41.08928585609604,214.04659933361637,40.0,-58.46160715912788,57429.17131851384,-33.479999579075326,-33.39928529288992,57454.45703276453,57544.79988984028,0.02205357415529998,0.19928571468664616,0.6355600000000001,-54.500003814697266,30.736242499384385,0.6758497110474695,0.6285834263702769,0.0019642839305253285,-0.004017873262873649,-0.0006678857058594344,-52.17897900668058
717098321,0.019200000000000106,52890.538793103464,0.005678032196780325,-0.5580692312238505,30.28125,0.5018850000000001,0.5040650000000001,0.05053819398616658,-56.78125,0.010297685135798212,-5.407543103448384,0.5557050000000001,0.5382041379310347,0.5378107758620694,0.50129,-1.59482758620971e-07,0.002606405060866755,-49.4375,0.5192000000000001,-55.21875,2.7811899463710255,0.5219400000000001,543.8756124387563,-0.05664760505134829,0.02926994849895622,0.5405086206896553,-0.00019547413793103569,52910.20689655173,600.0,-53.000003814697266,33.38541793823242,-0.5257276544540097,2.1192933333333337,2.067933333333334,5.438756124387563,2.070866666666667,-0.005580692312238505,-0.0004801972493159074,39.25,,,-69.2734375,0.5387437068965519,2.9770898850966767,-62.6875,34.500003814697266,-66.71365356445312,54220.83620689657,10.259428575121126,2.8980690538924128,0.0008285344827586969,-101.38331286591836,63.741333333333344,0.3462873697280884,3.1023805242865565,-5.4068965517242065,2.1192933333333337,-62.68750254313151,-0.0001091206896551738,-0.00010813793103448415,0.0027720742964374547,34.91204413052264,-0.00010813793103448341,-5.416594827586274,5.678032196780325e-05,-54.66666793823242,,-58.39264718417463,2.068646666666667,,0.5218,125.78125298023224,-9.773706896551845,-0.0001083318965517247,-52.84563959055934,314.40938177174144,140.0,-59.702321019665966,52920.206896551725,-5.4560344827587235,-5.406896551724232,52937.1853448276,53025.43103448277,0.02487203006086683,0.15999999999999998,0.5198,-56.625,15.754514084051277,0.5644167241379314,0.5384041379310346,0.021430501855652904,0.010088900862068997,-0.00010815086206896752,-59.2734375
717104749,0.08954000000000018,64904.14328481557,0.010237650367130136,-0.6737228558037804,39.49479389190674,0.5036283333333335,0.505885,0.029231234797495897,-53.90625,0.013125002537455046,-57.834290771640084,1.1361883333333336,0.7783485799823058,0.778082865696311,0.50308,-2.2857144414216364e-07,-0.007031244580234732,-35.484375,0.7413400000000001,-37.90885575612386,3.8546632532149063,0.8191400000000002,836.8317450398372,0.02279539117337243,0.013794616493640012,0.7811828657035046,-0.0015308287031656404,64917.42899911527,1050.0,-36.625,42.09375,-4.593750365121036,3.7511300000000003,3.68475,10.460396812997965,3.68779,-0.008421535697547255,0.0010540138507801919,79.6875,,,-80.0859375,0.7795342942689544,3.7296493903404886,-53.375,39.593753814697266,-79.3920488357544,68798.71483576868,-13.129465181535693,3.512463840510886,0.0011342857153134186,-77.8603816735552,151.56399999999996,0.06002729758620262,3.604081656559897,-57.83286220025038,3.7511300000000003,-53.37500190734863,-0.0011577858155227203,-0.0011566572440050093,0.014796648653032868,40.53125105415074,-0.0011569286726017401,-57.83643362926939,0.0001279706295891267,-51.296878814697266,-53.90625,-54.08036315869345,3.6853300000000004,0.8191400000000002,0.74444,208.5939347743988,-76.54143515828187,-0.0011567286725853911,-37.08482150068086,281.06230572472117,80.0,-54.95981930246122,64934.714713513094,-57.88929077613598,-57.84643363008689,64976.714713447676,65059.14328517521,0.010066992059657352,0.10071429441413128,0.74194,-53.093753814697266,38.486847153804604,0.8559742967153741,0.7786942942702622,-0.006428570470030836,0.012700893822372996,-0.0011566858154328009,-55.51302401224772
