spec_id_label,threshold_index_rheobase,trough_t_short_square,tau,peak_v_short_square,upstroke_scaling,upstroke_index_scaling,trough_t_scaling,adaptation,peak_t_index_scaling,trough_v_long_square,downstroke_t_scaling,upstroke_downstroke_ratio_scaling,upstroke_t_rheobase,threshold_t_rheobase,threshold_t_short_square,width_rheobase,upstroke_v_rheobase,threshold_v_ramp,fast_trough_v_index_scaling,peak_index_index_scaling,downstroke_v_scaling,threshold_t_long_square,threshold_v_short_square,upstroke_downstroke_ratio_ramp,trough_t_long_square,threshold_i_long_square,fast_trough_t_rheobase,upstroke_index_rheobase,threshold_i_short_square,threshold_v_long_square,peak_v_ramp,threshold_t_ramp,fast_trough_t_short_square,fast_trough_t_ramp,fast_trough_t_index_scaling,fast_trough_v_short_square,threshold_i_ramp,fast_trough_t_long_square,slow_trough_t_short_square,trough_v_short_square,downstroke_scaling,width_scaling,downstroke_t_rheobase,upstroke_downstroke_ratio_long_square,f_i_curve_slope,trough_v_ramp,peak_v_index_scaling,vrest,trough_index_rheobase,downstroke_v_rheobase,upstroke_downstroke_ratio_short_square,fast_trough_v_long_square,fast_trough_index_scaling,downstroke_rheobase,avg_isi,sag,threshold_t_scaling,slow_trough_v_ramp,trough_t_ramp,peak_v_rheobase,peak_t_short_square,upstroke_downstroke_ratio_rheobase,latency,trough_t_rheobase,fast_trough_v_ramp,slow_trough_v_long_square,fast_trough_v_rheobase,peak_t_ramp,slow_trough_t_long_square,threshold_v_scaling,ri,threshold_v_rheobase,upstroke_rheobase,trough_v_rheobase,peak_index_rheobase,trough_index_scaling,trough_v_scaling,downstroke_index_rheobase,fast_trough_index_rheobase,slow_trough_t_ramp,threshold_index_scaling,peak_t_long_square,peak_v_long_square,upstroke_v_scaling,peak_t_rheobase,downstroke_index_scaling,slow_trough_v_short_square,upstroke_t_scaling,slow_trough_t_scaling,slow_trough_index_rheobase,slow_trough_v_rheobase,slow_trough_v_scaling,slow_trough_index_scaling,slow_trough_t_rheobase
732115399,68136,0.5059766666666667,32.50483882002118,29.28645896911621,0.15927674595980404,-86.69570280223691,-0.00884807031273913,0.046109223062040836,-0.001734124993542397,-60.718753814697266,-0.001733984368543958,3.5074356815551515e-05,0.84308,0.8427200000000001,0.5028433333333333,0.0007399999999999629,3.656250238418579,-38.90625,-0.025280788349973136,-86.70624967711993,-0.07004395104278954,0.8427200000000001,-45.51041793823242,1.4320286072763673,0.8455000000000001,29.999998092651367,0.8451000000000002,68154,350.0,-39.0,30.53125,2.0657500000000004,0.5050833333333333,2.06806,-0.0017361953060308155,-67.78125,39.25,0.8451000000000002,,-68.5625,-0.10108067031648385,-5.546874942597615e-07,0.8435400000000002,1.507139125903179,0.3671428532055445,-59.625,-0.02630614907493496,-65.84171962738037,151009.0,9.500000953674316,1.4999011602166545,-60.500003814697266,-86.80976530154084,-145.18165128198302,96.71000000000002,0.1709468960762024,-0.001734562493538578,,2.06841,32.6875,0.5033633333333334,1.507139125903179,0.1184400000000001,2.5001800000000003,-59.343753814697266,,-60.500003814697266,2.0664100000000003,,-0.044274904978356205,319.53123211860657,-39.0,218.80894701030803,-67.03125762939453,68165,-442.40351563695697,0.003601090780921423,68177.0,68255.0,,-86.72812467692899,0.8433000000000002,32.6875,-0.02458496209506848,0.8433000000000002,-86.69921842719799,,-0.0017339140560447375,0.00887675984492961,57075.0,-62.468753814697266,-0.892228681295411,815.1907773923691,0.6215000000000002
732117083,61014,1.1421933333333334,18.182091557814402,55.05208206176758,0.09379504647875903,-51.820108695652166,-0.001037858695652173,0.42327219275292,-0.0010364456521739125,-44.4375,-0.0010365217391304345,-0.0010923691185106487,0.7006000000000001,0.70028,0.5032066666666667,0.0008599999999998609,18.5,-31.000001907348633,0.01244904062022331,-51.822282608695616,-0.00672554969787598,0.70028,-35.09375,3.0059624303238865,0.70276,110.0,0.7027400000000001,61030,1320.0,-33.34375,53.53125,5.979940000000001,0.5054333333333334,5.982480000000001,-0.0010378478260869564,-43.04166793823242,137.0,0.7027400000000001,,-73.63541412353516,-0.07078377124328047,-5.76086956521047e-07,0.70102,3.0420012247685944,0.10054347826086953,-44.4375,0.00613111413043477,-73.09459963711825,61138.0,38.125,2.834276704817851,-44.375003814697266,-51.89239130434787,-103.56259039158618,190.465,0.02589496783912182,-0.0010364456521739132,-44.4375,6.0983600000000004,52.531253814697266,0.5037,3.0420012247685944,0.11824000000000012,0.70276,-42.718753814697266,,-44.375003814697266,5.980480000000001,,-0.006114129398180026,103.12481224536896,-33.34375,315.03752681141344,-44.4375,61040,-51.89293478260876,0.012754732629527251,61051.0,61137.0,6.0983600000000004,-51.822282608695616,0.7008000000000001,52.531253814697266,0.005706529513649324,0.7008000000000001,-51.82608695652177,,-0.0010364021739130446,,,,,,
732127116,57784,0.505268,24.55560612888839,41.974998474121094,0.10899167984753724,-73.68544728349022,-0.018149526032695627,0.14295264817704414,-0.0014739552143269816,-49.625,-0.0014743544680572765,-0.001267940973363361,0.6359400000000002,0.63568,0.5028640000000001,0.0007200000000000539,10.6875,-32.546875,-0.054635029353249404,-73.69776071634918,-0.038619400517312524,0.73044,-37.51874923706055,1.919995078704817,0.73316,29.999998092651367,0.63792,57797,250.0,-28.843751907348633,46.609378814697266,2.00969,0.504808,2.0120700000000005,-0.0014767387963956493,-58.26874923706055,37.8125,0.7327000000000001,,-58.63750457763672,-0.1492967149049836,-6.679104438709945e-07,0.6364800000000002,2.0647071064060616,0.17499999165535005,-54.484375,-0.0605410417229377,-56.00915336608887,109002.0,12.312500953674316,1.8659764112898838,-49.4375,-73.83693981978249,-138.7194907841529,123.32571428571428,0.2336333841085434,-0.0014745932740135121,,2.01236,46.75,0.5033040000000001,2.0743039340505725,0.03548000000000018,1.66004,-54.3125,,-50.375003814697266,2.0102400000000005,,-0.08014807858013293,457.6527404785155,-29.90625,287.7463854630605,-59.000003814697266,57808,-907.4763016347813,0.014202423685264441,57824.0,57896.0,,-73.72966370067577,0.7309400000000001,49.750003814697266,-0.040012827126861536,0.6361600000000001,-73.71772340286383,,-0.0014737089456698027,,,,,,
732127146,56643,0.5891833333333334,14.722650799391088,23.20833396911621,-0.3443454434947579,-28.13999926338215,-0.005643356977106796,0.005679934308076864,-0.0005627714138368119,-55.000003814697266,-0.0005630142709770606,-0.0023184251268984985,0.6130800000000001,0.6128600000000002,0.5030066666666667,0.0009599999999998499,-8.4375,-30.421875,0.07511161203925751,-28.138570691840712,-0.024218751539076988,0.6128600000000002,-32.19791793823242,3.2071935778198766,0.6302400000000001,20.0,0.61666,56654,220.0,-32.593753814697266,37.1875,1.5379300000000002,0.5067633333333333,1.54133,-0.0005698428423021671,-50.86979293823242,26.0,0.61666,,-60.08854293823242,0.0541085023487249,-5.714285511850396e-07,0.6138400000000002,3.3326515193602146,0.39999999523162716,-50.515628814697266,-0.0648660884921642,-59.52946090698242,107476.0,4.812500476837158,2.671259412325801,-49.625,-28.492142115108454,-79.77303995445882,44.00818181818181,0.3289218544960022,-0.000589599985118322,-50.515628814697266,1.5523600000000002,32.093753814697266,0.5034566666666668,3.3326515193602146,0.014660000000000117,1.6295200000000003,-47.437503814697266,,-49.625,1.5384900000000004,,-0.1666964001395262,323.9062428474426,-32.593753814697266,265.8557428082103,-60.53125,56669,-282.1678488553396,0.1306696408869054,56692.0,56833.0,1.5523600000000002,-29.47999925591632,0.61338,32.093753814697266,-0.01167410644748986,0.61338,-28.150713548853112,,-0.0005627999852676404,-0.000283499972963334,52161.0,-48.40625,0.10312499016523485,-14.174998648166982,0.52322
732127678,58813,1.2314533333333335,28.53047621044328,49.52083206176758,0.053138693973528654,-24.295043094613415,-0.0004876939653219476,0.13706419264374142,-0.00048606034464994743,-48.750003814697266,-0.0004861594825805071,-0.0014310769472884077,0.6566400000000001,0.6562600000000001,0.5021866666666668,0.0009799999999999809,14.21875,-36.85416793823242,0.001124733923175515,-24.303017232497336,-0.0010304468425099875,0.6562600000000001,-42.78125127156576,3.2867964186227265,0.6593800000000001,59.999996185302734,0.6591,58832,1200.0,-37.34375,51.32291793823242,2.8578266666666665,0.5049333333333333,2.86094,-0.0004874741377289305,-49.500003814697266,59.0,0.6591,,-68.70833587646484,-0.057192588927234035,-4.61206891215e-07,0.6571400000000001,3.3542394095631773,0.10409482667654503,-50.67708206176758,-0.00185882323334055,-68.83261566162109,58969.0,35.781253814697266,3.254205601219589,-48.5,-24.373706886446445,-91.37069247208171,104.7525,0.031176086515188217,-0.0004859568963754742,-50.677085876464844,2.9273666666666665,52.15625,0.50276,3.3542394095631773,0.05832000000000015,0.6593800000000001,-47.458335876464844,,-48.5,2.8585000000000007,,-0.009711762866321938,176.5626072883606,-37.34375,306.479177568934,-48.750003814697266,58844,-24.38469826609738,0.001481680248118888,58857.0,58955.0,2.9273666666666665,-24.297844818773726,0.6568800000000001,52.15625,0.007199625755947061,0.6568800000000001,-24.307974129025315,,-0.0004859008618922693,,,,,,
732132296,60953,0.8557666666666668,14.957178744713206,51.33333206176758,0.12082547823651481,-51.28055134973598,-0.007087601732982839,0.08245407945684997,-0.0010256432479289917,-40.562503814697266,-0.001025926331929018,-0.00073606763557547,0.6994,0.69906,0.5030800000000001,0.001000000000000112,13.0625,-25.40625,0.018494679814513484,-51.282162396449586,0.0460299381265276,0.60104,-28.96875,3.010156680090844,0.6040000000000001,160.0,0.70194,60970,1320.0,-27.781251907348633,50.71875,6.972720000000001,0.5059733333333334,6.975620000000001,-0.0010277076897150037,-43.4375,161.875,0.6038400000000002,,-75.33333587646484,-0.059021585916041355,-4.41887194884435e-07,0.6999600000000001,3.1208770345084305,0.1232142857142857,-41.5625,0.034126845565329,-75.34452972412109,111258.0,29.000001907348633,3.1016354468420597,-40.53125,-51.38538448575008,-82.05564950847753,89.138,0.03646698221564293,-0.0010255074596781523,-41.5625,7.02106,46.937503814697266,0.50364,3.190452970971902,0.055400000000000116,1.7051600000000002,-38.6875,,-43.0,6.97334,,0.008627019457018121,122.65609204769135,-31.1875,261.7946907593512,-75.53125,60983,-354.3800866491418,0.2187895678704598,60998.0,61097.0,7.02106,-51.27537298390756,0.6016400000000002,52.781253814697266,0.004448363224779763,0.6996600000000002,-51.29631659645068,,-0.0010256110269947216,,,,,,
732150069,63834,1.3982650000000003,18.72964116581778,51.328125,2.39097760009348e-05,-51.44226024736179,-0.0010298295527490977,0.13506332808399385,-0.0010289321614668616,-34.53125,-0.0010290191179864868,-0.0009478452295451785,0.75702,0.75668,0.5030000000000001,0.0009200000000000319,21.718751907348633,-27.765625,-0.011396756927569529,-51.44660807334305,-0.020282604507427377,0.75668,-32.484378814697266,2.816731903680518,0.7595000000000001,110.0,0.75942,63851,1360.0,-23.187501907348633,51.343753814697266,3.0896500000000007,0.5053950000000001,3.0924400000000003,-0.0010304243353611562,-41.59375190734863,64.8125,0.75942,,-62.7734375,-0.03206502045568592,-2.9217390650154153e-07,0.7575200000000002,2.8162684743909407,0.10156521601045591,-44.375,-0.023760873218105535,-63.198224154385656,63975.0,39.5625,2.63207660559873,-34.46875,-51.52121676805786,-94.06655426521695,99.5977777777778,0.007412649225443602,-0.0010289773788610293,-44.37500190734863,3.1724700000000006,55.90625,0.5035400000000001,2.8162684743909407,0.07288000000000006,0.7595000000000001,-41.062503814697266,,-34.46875,3.0902400000000005,,-0.024032600145956748,85.31264960765839,-23.187501907348633,264.9166712717152,-34.53125,63863,-51.49147763745479,-0.011771742337236532,63876.0,63971.0,3.1724700000000006,-51.448868943051416,0.75726,55.90625,-0.025054358917240813,0.75726,-51.45095589932422,,-0.0010288452049472382,,,,,,
732151679,52639,0.655908,10.156999823974962,34.01250076293945,0.024706352489328728,-6.712857001004948,-0.00013445714003208818,0.19027306176619463,-0.00013435714002064475,-56.406253814697266,-0.0001343571400206439,0.00013774345219582604,0.53298,0.53278,0.5024559999999999,0.0004199999999998649,-7.281250476837158,-31.10416603088379,0.002410717030934421,-6.717857001032176,-0.0005580357100283144,0.53278,-42.16875076293945,1.688955655212265,0.53416,119.99999237060547,0.53406,52649,800.0,-39.78125,30.250001907348633,8.62458,0.5037120000000002,8.626093333333332,-0.00013445714002118805,-56.83124923706055,203.1666717529297,0.53406,,-67.69999694824219,0.0038556125535218863,1.1092781444347918e-18,0.5333000000000001,1.8648269605669663,0.30071427326202393,-57.97917175292969,-0.0029241315066801817,-67.4079360961914,52708.0,6.875000476837158,1.9394605270336378,-56.218753814697266,-6.722857001059549,-232.32993582035417,102.21333333333334,0.1604508012533188,-0.00013435714002064448,,8.627066666666666,34.406253814697266,0.502772,1.8648269605669663,0.019680000000000142,0.53416,-57.500003814697266,,-56.218753814697266,8.624946666666666,,-0.01053571395874017,92.8124189376831,-39.78125,433.2551280645894,-56.406253814697266,52657,-6.722857001604448,0.003169661935738304,52665.0,52703.0,,-6.7178570010322485,0.5331400000000002,34.406253814697266,0.03464285935333784,0.5331400000000002,-6.717857001032285,,-0.00013425714002009866,,,,,,
732151711,53280,0.798456,8.252060605051037,47.256248474121094,-0.005603772497237349,-7.835095715587855,-0.00015737010027347257,0.3075135553834265,-0.00015677757520510372,-41.437503814697266,-0.0001567775752051041,0.00018946899690556126,0.5458000000000001,0.5456000000000001,0.5044000000000001,0.00043999999999999595,8.343750953674316,-6.218750476837158,0.032039088907302636,-7.838878760255129,0.02893260414206994,0.5456000000000001,-19.068750381469727,1.534825871281012,0.5471000000000001,150.0,0.5469600000000001,53290,1100.0,-24.25,48.531253814697266,20.77674,0.505688,20.77824,-0.00015718505013673613,-33.837501525878906,507.0,0.5469600000000001,,-58.70625686645508,0.02374063637403895,-1.2670920692787386e-07,0.5461200000000002,1.8278122124084966,0.012499999999999995,-33.937503814697266,0.016026659455208182,-58.44483878395774,53355.0,13.343750953674316,1.816711738392873,-41.343753814697266,-7.8592525068367705,-205.2965797699676,12.909999999999977,0.15731993317604065,-0.00015678577939835854,,20.77862,39.5625,0.5047200000000001,1.8278122124084966,0.029040000000000177,0.5471000000000001,-33.5625,,-41.343753814697266,20.7771,,0.014193529982727642,90.93759208917618,-24.25,375.24359566924187,-41.437503814697266,53297,-7.868505013673598,0.03194649434676465,53306.0,53348.0,,-7.839288969917897,0.5459400000000001,39.5625,0.029951005331907036,0.5459400000000001,-7.838878760255178,,-0.00015670191431175795,,,,,,
732162932,52516,0.5248360000000001,8.444162028519962,31.575000762939453,0.13944866866415148,-6.662857030876235,-0.00013461428343340725,0.01437230694119618,-0.0001331571406207936,-57.218753814697266,-0.0001331714263190435,0.0006733526222365113,0.53054,0.5303200000000001,0.5018320000000001,0.00048000000000003595,-0.25,-33.58333206176758,0.00441964576341347,-6.657857031039743,-0.011607144540669844,0.5303200000000001,-41.693748474121094,1.8413334495576315,0.53206,160.0,0.5318400000000001,52527,800.0,-35.59375,29.093751907348633,7.333433333333335,0.5030280000000001,7.335113333333335,-0.00013324285487567965,-54.724998474121094,170.875,0.5318400000000001,,-64.39375305175781,-0.004486831246608671,-8.571429848240472e-08,0.5308600000000001,1.9749979091287408,0.31285714368235895,-58.55208969116211,-0.0036160738404900626,-63.79314422607422,52603.0,7.0,2.0848311951984733,-56.968753814697266,-6.662142743783944,-193.51335123495105,38.796000000000014,0.08156973868608475,-0.00013315714062079454,,7.335486666666667,30.843751907348633,0.5021600000000002,1.9749979091287408,0.017859999999999987,0.53206,-58.21875,,-56.968753814697266,7.333833333333334,,-0.029419670695186237,94.84370797872543,-35.59375,382.188464077524,-57.218753814697266,52534,-6.730714171670264,0.005848206289934412,52543.0,52592.0,,-6.657857031039743,0.53068,30.843751907348633,-0.038415185309673035,0.53068,-6.65857131595219,,-0.00013325714061752515,,,,,,
